file,account,line_ref,sha256,gl_ex_gst,invoice_incl_gst
NA73212_Evidence/NA73212_L01_AustCare_25437.pdf,73212,25437,38b1fa4824834f77953624d46df69a2893a3e7f87b2fa20dbc83052cc5cdae7c,630.00,693.00
NA73212_Evidence/NA73212_L02_Harpley_00014937.pdf,73212,00014937,0114acc7fc0d6acc2e8f438f83bbc48f911fb22db0732fe87f06fd6a028e59da,270.00,297.00
NA73212_Evidence/NA73212_L03_A1Strategy_27.pdf,73212,27,79b8f6b35b70d435cb1d663ab6c64e50469373878742a77dd21c0f65711c63eb,8200.00,9020.00
NA73212_Evidence/NA73212_L04_A1Strategy_29.pdf,73212,29,85c83eacb47c772d27a7f12b502fd3160e568e36e42f06404a2631a02ecc0c93,4700.00,5170.00
NA73212_Evidence/NA73212_L05_A1Strategy_30.pdf,73212,30,814182260fcec110def44ad69a9ba01c406a23d632ec6d7703def515bb2d2eb4,2200.00,2420.00
NA73212_Evidence/NA73212_L03b_ABR_Jacobs_Current.pdf,73212,ABR,ee809c4156ad85461afea193d9d861ebd2586b1c05c77b95219c737a88c49b4e,,
NA73212_Evidence/NA73212_L03c_ABR_Jacobs_History.pdf,73212,ABR,c4e328e39356b360f5bb7b826d1c2a180c1da030af9ac0fe92d6b10a7d925483,,
NA73212_Evidence/NA73212_L03d_ASIC_A1BusinessName.pdf,73212,ASIC,b3de07dc0cf29964b4f54d7bf3bdcf53116670ccc5cb1c65c13cfebbbb60b1ef,,
GAP,73212,GJ079210 backup (Play Force move),,66183.82,unsighted
GAP,73212,s4090230 standing-order vendor invoices,,~30000,unsighted
GAP,73212,GJ076924 backup,,1914.00,unsighted
GAP,73212,"Contracts: LCC-09-2022, Aust Care SO, Play Force",,n/a,unsighted
NA73212_Evidence/NA73212_L06_GJ079210_DocLineTable.xlsx,73212,"GJ079210 backup (Doc File 1228957), 6 lines nets $0.00",358c39e2924627b1d5742638a27b1574b0049f460c3315e1ce966474609ea96c,-66183.82 (73212 leg),n/a
NA73212_Evidence/NA73212_L07_GJ076924_DocLineTable.xlsx,73212,"GJ076924 backup (Doc File 1183397), 95 lines nets $0.00",d4b96a540c2f8dbb71b041f86f54a12636f96e62c9e6372028bcd942ba05d3b8,1914.00 (73212 leg),n/a
